n;tratamiento;cestillo;peso inicial;peso final
1;IMTA;1;39;28
2;IMTA;1;27;19
3;IMTA;1;27;42
4;IMTA;1;16;25
5;IMTA;1;10;27
6;IMTA;1;21;17
7;IMTA;1;8;19
8;IMTA;1;43;13
9;IMTA;1;14;9
11;IMTA;1;5;5
12;IMTA;1;19;6
13;IMTA;1;19;27
14;IMTA;1;21;7
15;IMTA;1;25;NA
16;IMTA;1;11;NA
17;IMTA;1;4;NA
18;IMTA;1;13;NA
19;IMTA;1;15;NA
20;IMTA;1;8;NA
21;IMTA;1;25;NA
22;IMTA;1;22;NA
23;Salobre;2;17;
24;Salobre;2;19;
25;Salobre;2;5;
26;Salobre;2;16;
27;Salobre;2;20;
28;Salobre;2;6;
29;Salobre;2;8;
30;Salobre;2;4;
31;Salobre;2;10;
32;Salobre;2;16;
33;Salobre;2;14;
34;Salobre;2;4;
35;Salobre;2;13;
36;Salobre;2;3;
37;Salobre;2;18;
38;Salobre;2;17;
39;Salobre;2;18;
40;Salobre;2;11;
41;Salobre;2;12;
42;IMTA;3;14;
43;IMTA;3;15;
44;IMTA;3;16;
45;IMTA;3;34;
46;IMTA;3;21;
47;IMTA;3;11;
48;IMTA;3;28;
49;IMTA;3;8;
50;IMTA;3;15;
51;IMTA;3;12;
52;IMTA;3;22;
53;IMTA;3;16;
54;IMTA;3;7;
55;IMTA;3;26;
56;IMTA;3;21;
57;IMTA;3;15;
58;IMTA;3;11;
60;Salobre;4;18;
61;Salobre;4;19;
62;Salobre;4;8;
63;Salobre;4;21;
64;Salobre;4;13;
65;Salobre;4;14;
66;Salobre;4;18;
67;Salobre;4;7;
68;Salobre;4;17;
69;Salobre;4;6;
70;Salobre;4;10;
71;Salobre;4;6;
72;Salobre;4;8;
73;Salobre;4;12;
74;Salobre;4;9;
75;IMTA;5;7;
76;IMTA;5;18;
77;IMTA;5;9;
78;IMTA;5;19;
79;IMTA;5;26;
80;IMTA;5;21;
81;IMTA;5;42;
82;IMTA;5;16;
83;IMTA;5;14;
84;IMTA;5;14;
95;Salobre;6;3;
96;Salobre;6;10;
97;Salobre;6;9;
98;Salobre;6;33;
99;Salobre;6;22;
100;Salobre;6;11;
101;Salobre;6;24;
102;Salobre;6;6;
103;Salobre;6;24;
104;Salobre;6;13;
85;IMTA;7;28;
86;IMTA;7;20;
87;IMTA;7;9;
88;IMTA;7;12;
89;IMTA;7;8;
90;IMTA;7;17;
91;IMTA;7;8;
92;IMTA;7;11;
93;IMTA;7;8;
94;IMTA;7;13;
105;Salobre;8;10;
106;Salobre;8;36;
107;Salobre;8;8;
108;Salobre;8;10;
109;Salobre;8;8;
110;Salobre;8;8;
111;Salobre;8;16;
112;Salobre;8;9;
113;Salobre;8;19;
114;Salobre;8;16;
115;Salobre;8;15;
116;Salobre;8;17;
117;IMTA;9;8;
118;IMTA;9;2;
119;IMTA;9;17;
120;IMTA;9;7;
121;IMTA;9;19;
122;IMTA;9;8;
123;IMTA;9;18;
124;IMTA;9;7;
125;IMTA;9;17;
126;IMTA;9;17;
127;IMTA;9;23;
128;Salobre;10;16;
129;Salobre;10;17;
130;Salobre;10;35;
131;Salobre;10;16;
132;Salobre;10;29;
133;Salobre;10;11;
134;Salobre;10;24;
135;Salobre;10;12;
136;Salobre;10;15;
137;Salobre;10;26;
138;Salobre;10;17;
139;Salobre;10;12;
140;Salobre;10;11;
141;Salobre;10;5;
142;Oscuro;11;19;
143;Oscuro;11;21;
144;Oscuro;11;14;
145;Oscuro;11;12;
146;Oscuro;11;22;
147;Oscuro;11;11;
148;Oscuro;11;7;
149;Oscuro;11;21;
150;Oscuro;11;16;
151;Oscuro;11;15;
152;Oscuro;11;25;
153;Oscuro;11;10;
166;Oscuro;12;57;
167;Oscuro;12;11;
168;Oscuro;12;17;
169;Oscuro;12;8;
170;Oscuro;12;13;
171;Oscuro;12;39;
172;Oscuro;12;16;
173;Oscuro;12;21;
174;Oscuro;12;16;
175;Oscuro;12;10;
176;Oscuro;12;8;
177;Oscuro;12;7;
178;Oscuro;12;14;
179;Oscuro;12;17;
154;Oscuro;13;18;
155;Oscuro;13;23;
156;Oscuro;13;15;
157;Oscuro;13;11;
158;Oscuro;13;11;
159;Oscuro;13;8;
160;Oscuro;13;10;
161;Oscuro;13;9;
162;Oscuro;13;13;
163;Oscuro;13;5;
164;Oscuro;13;7;
165;Oscuro;13;5;
180;Oscuro;14;22;
181;Oscuro;14;7;
182;Oscuro;14;17;
183;Oscuro;14;21;
184;Oscuro;14;7;
185;Oscuro;14;34;
186;Oscuro;14;11;
187;Oscuro;14;13;
188;Oscuro;14;28;
189;Oscuro;14;12;
190;Oscuro;14;6;
191;Oscuro;14;7;
192;Oscuro;14;6;
193;Oscuro;15;33;
194;Oscuro;15;11;
195;Oscuro;15;8;
196;Oscuro;15;6;
197;Oscuro;15;18;
198;Oscuro;15;9;
199;Oscuro;15;10;
200;Oscuro;15;20;
201;Oscuro;15;5;
202;Oscuro;15;9;
203;Oscuro;15;15;
204;Oscuro;15;5;
205;Oscuro;15;10;
206;Oscuro;15;11;
207;Control;16;53;
208;Control;16;24;
209;Control;16;26;
210;Control;16;10;
211;Control;16;9;
212;Control;16;18;
213;Control;16;12;
214;Control;16;10;
215;Control;16;17;
216;Control;16;31;
217;Control;16;20;
218;Control;16;30;
219;Control;16;16;
220;Control;16;8;
221;Control;17;53;
222;Control;17;13;
223;Control;17;59;
224;Control;17;12;
225;Control;17;24;
226;Control;17;33;
227;Control;17;16;
228;Control;17;23;
229;Control;17;35;
230;Control;18;33;
231;Control;18;25;
232;Control;18;21;
233;Control;18;13;
234;Control;18;11;
235;Control;18;16;
236;Control;18;39;
237;Control;18;28;
238;Control;18;11;
239;Control;18;14;
240;Control;18;14;
241;Control;18;12;
242;Control;18;37;
243;Control;18;15;
244;Control;18;15;
245;Control;19;41;
246;Control;19;20;
247;Control;19;23;
248;Control;19;13;
249;Control;19;16;
250;Control;19;5;
251;Control;19;27;
252;Control;19;17;
253;Control;19;8;
254;Control;19;22;
255;Control;19;14;
256;Control;20;25;
257;Control;20;20;
258;Control;20;34;
259;Control;20;21;
260;Control;20;32;
261;Control;20;5;
262;Control;20;25;
263;Control;20;20;
264;Control;20;8;
265;Control;20;8;
266;Control;20;4;
267;Control;20;7;
268;Control;20;6;
