PC;eigenvalue;var_per;var_cumulative;SOD.pie;SOD.tent;CAT.pie;CAT.tent;GST.pie;GST.tent;DTD.pie;DTD.tent;MDA.tent;MDA.pie;TEAC.pie;TEAC.tent
PC1;3,826645319;31,9%;31,9%;0,211918786;-0,447235977;-0,322724691;0,35711638;-0,359954238;0,186073093;-0,397953178;0,311521351;0,191005213;0,173944957;-0,177843604;0,073595871
PC2;2,291274177;19,1%;51,0%;0,104801157;-8,88E-05;-0,110536103;0,250260318;0,259439482;0,04723933;0,265940052;0,334568754;-0,473618399;0,330815181;0,347036625;0,455828916
PC3;1,698560955;14,2%;65,1%;0,38402343;0,003776156;0,408136209;0,352388291;0,145262475;0,559056669;0,055859974;-0,180732605;0,216570467;-0,103801261;0,324982862;-0,170404185
PC4;1,539571498;12,8%;78,0%;-0,509385852;0,167338957;-0,044196565;-0,180758036;0,058974403;0,381298346;-0,235136765;0,108037318;0,105125367;0,563095874;0,230388702;-0,284362258
PC5;0,770035905;6,4%;84,4%;-0,137233436;-0,140158169;0,431136033;-0,01205774;0,465008253;0,19493464;-0,284091707;0,063542252;-0,120630827;0,036951729;-0,58839997;0,272744107
PC6;0,675898572;5,6%;90,0%;-0,000736511;-0,086765493;-0,288695024;0,037640726;0,232138524;0,241724512;0,207001655;0,333250051;-0,365253623;-0,30083349;-0,217888085;-0,608357653
PC7;0,491125163;4,1%;94,1%;0,311677063;0,45507501;0,308062224;-0,186719661;-0,255021347;-0,00820853;0,180166352;0,602084741;0,186494607;0,141908678;-0,223173649;-0,034692535
PC8;0,32836748;2,7%;96,8%;0,412881248;-0,091450694;0,114588549;-0,423762309;-0,296656437;0,147598832;-0,225144136;-0,271333583;-0,578755251;0,219002915;-0,005123195;-0,106828834
PC9;0,171882086;1,4%;98,3%;-0,403221625;0,287124247;0,133485682;0,224611954;-0,486307884;0,284901839;-0,144710146;0,067833139;-0,328416423;-0,430724719;0,047771056;0,21870768
PC10;0,133563537;1,1%;99,4%;-0,209538525;-0,612730693;0,472238111;-0,209091007;-0,12138637;-0,178014686;0,069161216;0,344992692;-0,01130253;-0,131098996;0,339934425;-0,104065382
PC11;0,050232599;0,4%;99,8%;0,000801121;0,175251587;0,274155846;0,531940128;0,01751949;-0,516227793;-0,308997937;-0,006857435;-0,231853677;0,198327893;0,016533973;-0,394304757
PC12;0,022842706;0,2%;100%;-0,210279377;-0,201846414;0,147842445;0,244654594;-0,3222516;0,087063151;0,620151527;-0,267941002;-0,042513587;0,361166929;-0,357226947;-0,075239078
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;PC;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;;
;eigenvalue;3,83;2,29;1,70;1,54;0,77;0,68;0,49;0,33;0,17;0,13;0,05;0,02;;
;var_per;31,9%;19,1%;14,2%;12,8%;6,4%;5,6%;4,1%;2,7%;1,4%;1,1%;0,4%;0,2%;;
;var_cumulative;31,9%;51,0%;65,1%;78,0%;84,4%;90,0%;94,1%;96,8%;98,3%;99,4%;99,8%;100%;;
;SOD.pie;0,212;0,105;0,384;-0,509;-0,137;-0,001;0,312;0,413;-0,403;-0,210;0,001;-0,210;;
;SOD.tent;-0,447;0,000;0,004;0,167;-0,140;-0,087;0,455;-0,091;0,287;-0,613;0,175;-0,202;;
;CAT.pie;-0,323;-0,111;0,408;-0,044;0,431;-0,289;0,308;0,115;0,133;0,472;0,274;0,148;;
;CAT.tent;0,357;0,250;0,352;-0,181;-0,012;0,038;-0,187;-0,424;0,225;-0,209;0,532;0,245;;
;GST.pie;-0,360;0,259;0,145;0,059;0,465;0,232;-0,255;-0,297;-0,486;-0,121;0,018;-0,322;;
;GST.tent;0,186;0,047;0,559;0,381;0,195;0,242;-0,008;0,148;0,285;-0,178;-0,516;0,087;;
;DTD.pie;-0,398;0,266;0,056;-0,235;-0,284;0,207;0,180;-0,225;-0,145;0,069;-0,309;0,620;;
;DTD.tent;0,312;0,335;-0,181;0,108;0,064;0,333;0,602;-0,271;0,068;0,345;-0,007;-0,268;;
;MDA.tent;0,191;-0,474;0,217;0,105;-0,121;-0,365;0,186;-0,579;-0,328;-0,011;-0,232;-0,043;;
;MDA.pie;0,174;0,331;-0,104;0,563;0,037;-0,301;0,142;0,219;-0,431;-0,131;0,198;0,361;;
;TEAC.pie;-0,178;0,347;0,325;0,230;-0,588;-0,218;-0,223;-0,005;0,048;0,340;0,017;-0,357;;
;TEAC.tent;0,074;0,456;-0,170;-0,284;0,273;-0,608;-0,035;-0,107;0,219;-0,104;-0,394;-0,075;;
