;eigenvalue;var_per;SOD.pie;SOD.tent;CAT.pie;CAT.tent;GST.pie;GST.tent;DTD.pie;DTD.tent;MDA.pie.2;MDA.tent.2;TEAC.pie;TEAC.tent
PC1;3,845775677;0,320481306;0,15330917;-0,436755902;-0,40646509;0,320723031;-0,422738378;0,029890393;-0,391920112;0,285470638;0,143769194;0,188491287;-0,186588508;0,109332523
PC10;0,088960959;0,007413413;0,01463101;-0,207213645;0,27513971;-0,052751326;-0,395879796;0,042382963;-0,168401445;0,204594903;-0,358179709;-0,479632071;0,504326265;-0,192208271
PC11;0,043681579;0,003640132;-0,023105627;-0,061212901;-0,459349401;-0,464859776;-0,221070943;0,408127604;0,230913246;-0,224037632;0,055675263;-0,256045077;0,092003716;0,415385166
PC12;0,017959213;0,001496601;0,125556817;0,275283129;-0,244512617;-0,197653728;0,437145066;-0,122809463;-0,657910768;0,156470772;0,122366083;-0,196838694;0,255140228;0,165160979
PC2;2,534100457;0,211175038;0,178379715;0,018019569;-0,148641143;0,260569023;0,191791111;-0,130901072;0,327933768;0,292441282;-0,483859087;0,235725768;0,327792871;0,483476748
PC3;1,97967163;0,164972636;0,361266922;-0,10613147;0,052922106;-0,004633468;-0,034679534;-0,567752637;0,124024961;-0,096924357;-0,018070646;-0,531002675;-0,408040175;0,24143463
PC4;1,368842263;0,114070189;-0,44238809;0,077470061;-0,30490812;-0,417215361;-0,06918191;-0,316094038;0,101988162;0,485123753;-0,252026797;0,035705628;-0,254450973;-0,226423573
PC5;0,717511885;0,059792657;-0,337201714;-0,414928581;-0,133844926;0,245481244;0,474464277;0,254166167;-0,132231151;-0,184492238;-0,393182686;-0,281172436;-0,24331856;-0,043128092
PC6;0,563456282;0,04695469;-0,377112355;0,032931976;-0,360614299;0,420626399;-0,01235451;-0,316119249;0,239912786;-0,110818257;0,38427029;-0,256625832;0,386946578;-0,128691665
PC7;0,420575672;0,035047973;0,557372023;0,136056728;-0,366762846;0,081602275;0,153805044;0,254648574;0,248877657;0,160926376;-0,049966893;-0,163272458;-0,041663713;-0,567821586
PC8;0,285434908;0,023786242;0,18659418;-0,472472082;-0,168836685;-0,338690401;0,10605629;-0,371670034;-0,033549464;-0,422224316;-0,108531888;0,339912111;0,282283772;-0,250891803
PC9;0,134029474;0,011169123;0,023320169;-0,504179749;0,243832177;-0,196591855;0,348794683;0,093541565;0,245843171;0,470341837;0,467406364;-0,064817377;0,090756327;0,06466596
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;;
eigenvalue;3,845775677;2,534100457;1,97967163;1,368842263;0,717511885;0,563456282;0,420575672;0,285434908;0,134029474;0,088960959;0,043681579;0,017959213;;
var_per;0,320481306;0,211175038;0,164972636;0,114070189;0,059792657;0,04695469;0,035047973;0,023786242;0,011169123;0,007413413;0,003640132;0,001496601;;
SOD.pie;0,153;0,178;0,361;-0,442;-0,337;-0,377;0,557;0,187;0,023;0,015;-0,023;0,126;;
SOD.tent;-0,437;0,018;-0,106;0,077;-0,415;0,033;0,136;-0,472;-0,504;-0,207;-0,061;0,275;;
CAT.pie;-0,406;-0,149;0,053;-0,305;-0,134;-0,361;-0,367;-0,169;0,244;0,275;-0,459;-0,245;;
CAT.tent;0,321;0,261;-0,005;-0,417;0,245;0,421;0,082;-0,339;-0,197;-0,053;-0,465;-0,198;;
GST.pie;-0,423;0,192;-0,035;-0,069;0,474;-0,012;0,154;0,106;0,349;-0,396;-0,221;0,437;;
GST.tent;0,030;-0,131;-0,568;-0,316;0,254;-0,316;0,255;-0,372;0,094;0,042;0,408;-0,123;;
DTD.pie;-0,392;0,328;0,124;0,102;-0,132;0,240;0,249;-0,034;0,246;-0,168;0,231;-0,658;;
DTD.tent;0,285;0,292;-0,097;0,485;-0,184;-0,111;0,161;-0,422;0,470;0,205;-0,224;0,156;;
MDA.pie.2;0,144;-0,484;-0,018;-0,252;-0,393;0,384;-0,050;-0,109;0,467;-0,358;0,056;0,122;;
MDA.tent.2;0,188;0,236;-0,531;0,036;-0,281;-0,257;-0,163;0,340;-0,065;-0,480;-0,256;-0,197;;
TEAC.pie;-0,187;0,328;-0,408;-0,254;-0,243;0,387;-0,042;0,282;0,091;0,504;0,092;0,255;;
TEAC.tent;0,109;0,483;0,241;-0,226;-0,043;-0,129;-0,568;-0,251;0,065;-0,192;0,415;0,165;;
