"";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14"
"SOD.pie";0,206697497618132;0,141884825005271;0,359569994517989;0,439686871844876;0,00628368824081511;0,386870673122186;0,240515427397177;0,118327368726806;0,023646350989012;0,401695909687477;0,412693537961915;0,0911289736294705;0,0524919633637416;0,222884878609209
"SOD.tent";-0,432444841842686;0,106434351742899;-0,13727905977834;0,0369543185879924;0,281933604907922;-0,0212425257141099;-0,0241461852521768;0,39396469338521;-0,00458361365493441;-0,15687160680376;0,0235250208201482;0,455663777306273;0,492628857987037;0,265004147957757
"CAT.pie";-0,354360057481389;-0,166094333630303;0,228114545210384;0,124817821044334;-0,00273314782202419;0,0367783969013082;0,671257968674175;0,0778613294885461;0,199104164440509;-0,131571328314696;-0,278416544529449;-0,368689681817452;0,155085648281549;-0,163594698311459
"CAT.tent";0,31150973362014;0,21163356174663;0,435700431300591;0,0213427145964475;-0,022859039874376;0,154783936017319;0,0189898776814243;-0,269255918832187;-0,205706141951709;-0,360414605495021;-0,3162903467477;0,374579747698311;0,284704259370917;-0,27734957263483
"GST.pie";-0,385964040011921;0,186407378624829;0,0690194456997268;-0,0161169172115071;-0,193673762499291;-0,201270756382526;0,227639840202431;-0,569255011866373;-0,0913836849971233;-0,255888707146846;0,417588717030114;0,148881580562248;-0,162483275562965;0,246156690505903
"GST.tent";0,0324190416516467;0,288662280208868;0,239984087937151;0,027667938645615;0,637632529684698;-0,302706539234333;-0,0531837454606966;-0,115134304904839;0,516315847952918;0,0580112224854748;-0,0497817955716287;0,0571774520277158;-0,252170600930521;-0,0607408324821315
"DTD.pie";-0,348485715624345;0,334113956987464;0,0176744438956375;0,296480832880841;0,0499762721349579;0,0599787742141423;-0,303965918236198;0,115736190615055;-0,22644580284316;-0,0651404308992866;0,27589312343242;-0,264805785015323;0,00504216917255453;-0,604186687168264
"DTD.tent";0,267472606397489;0,428971380569275;-0,105156057733065;-0,0668825543326201;0,27291400939245;-0,155439550551931;0,145855396213165;0,0107869382791013;-0,410849438951608;-0,103993505372578;-0,0440926669425769;-0,511463287059483;0,201393938605223;0,353789394196281
"G6PDH.pie";-0,323643786599969;-0,0494115331190041;0,364941892160498;-0,31173399690673;0,162654244930473;-0,0530629676969145;0,0343485584381679;0,0517695335440742;-0,530527342226142;0,470103442873838;-0,221770379653665;0,125871247443695;-0,248559469832853;0,00751998566180753
"G6PDH.tent";-0,00752881378767367;-0,205454257150473;0,533201933307269;-0,114987771142124;-0,215566549464741;-0,413322434864163;-0,352681947862327;0,0336681495043058;0,132002625617132;0,0630768842352186;0,186892655702145;-0,244917171000671;0,433420349774091;0,114947950996797
"MDA.pie.2";0,159079027032898;-0,445126425808047;0,20986108729962;-0,0937144523744507;0,335263135306146;0,0488178216523257;0,0609257436467;0,280021386898586;-0,211789851567693;-0,511947879750787;0,378397117156153;-0,00983069595488195;-0,276464652227396;-0,0128250964460184
"MDA.tent.2";0,122851544758031;0,207040457581444;-0,0782491288907696;-0,688116663014871;-0,0189419735931555;0,083523332116921;0,298931182816927;0,0891158752124144;0,149829289028926;0,147317399458307;0,384412622850094;0,0581025165756605;0,211533809298873;-0,343119644712963
"TEAC.pie";-0,229983748758592;0,207507861030602;0,214288696726326;-0,321143342846076;-0,0561295851038251;0,622787307307223;-0,301052462664146;0,0208777141162316;0,230880096914581;-0,212911956621273;-0,110833264425746;-0,234871669483506;-0,137903957723145;0,29632568302482
"TEAC.tent";0,0810059746345985;0,392079556791781;0,150649939954315;0,00742586444085654;-0,458304984882269;-0,306259001475832;0,114171659733805;0,557501383843265;0,0544153410796305;-0,169762322645877;-0,096452565444454;0,127306487612025;-0,359229442084359;0,0542586634371449
