"";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14";"Comp.15";"Comp.16";"Comp.17";"Comp.18"
"SOD.col";0,39039207232425;0,0439411186330901;0,0429334889151294;0,203118511431321;0,0894319142004724;0,124614002834831;0,046169221358357;0,0257556357632872;0,0186715641535737;0,150900082196876;0,210622611490527;0,481356597729183;0,258827362982202;0,157600203098773;0,292258436959776;0,184900143248388;0,319592035418886;0,40433161190966
"SOD.tent";-0,0626613115366341;0,194236362544508;-0,0114370736448151;0,475360479779813;-0,0802889814991646;-0,334040048534167;0,602180662166266;0,10518068661593;0,0528986824645744;-0,00125767971184293;-0,314370625804903;0,230078367150641;-0,152121057337246;-0,106129671913594;0,0361458738257228;-0,216639531441741;-0,0570709246363278;-0,00826918895527906
"CAT.col";0,282552868933905;0,0213756407898385;-0,311498570941808;0,294970803908411;-0,0602778198592868;-0,0151499840517497;0,0722931068040873;-0,395423190810369;0,0794133716328288;-0,190850074534015;0,413853693175937;-0,341233491003135;0,253420043864285;-0,207580159985249;0,13700901849796;-0,321209093437171;-0,0594607797849033;-0,0835470212095639
"CAT.tent";-0,21546426477161;0,356062993803026;-0,000541493988117443;0,20000871533919;-0,109877126796759;0,205589676561827;-0,315732341094301;0,181893905414124;0,0427503885162566;0,137882031683424;0,299276814136205;0,0193789883518035;-0,480003089302023;0,081540616276643;0,364512958513748;-0,237548699316541;-0,220932507936722;0,117195623024474
"GST.col";0,348670009352937;0,107423791893262;-0,0214831802868572;0,147377229474941;-0,112814674823117;0,10000921570752;-0,272096485647128;-0,400523926767509;-0,0222328117551699;-0,0623170912882041;-0,121605244246112;0,347448987113389;-0,439856331431568;-0,284613495633726;-0,277899343539431;0,193079214642952;0,0570276242073743;-0,235368449387843
"GST.tent";-0,0387662240162296;0,349381401334426;0,0843899320281138;-0,10704054208288;0,581161315537914;-0,0088831016781281;0,176105910236971;-0,0231699197045994;-0,19870046734658;-0,448881169954806;0,309989221641135;0,179630157113038;-0,0641088362587298;0,232556057554137;-0,157856518971863;-0,0156832383412734;-0,0606933652586878;-0,179153213090531
"DTD.col";0,337180863817008;0,148161443225686;0,185993756219719;-0,0771664324454056;-0,000228434591208797;0,140897688988877;0,26139491216817;0,326189123647402;-0,102580423381035;0,125621845008445;0,219155196540472;-0,331367964678458;-0,190390147212946;-0,352435791045924;-0,385186393220705;0,0672819615951149;-0,0407598948242244;0,360661278028456
"DTD.tent";-0,0806657719727214;0,248834618089839;0,439823357952375;0,164873443469721;0,23134303465869;-0,0535819638090479;-0,220434130718355;-0,245751958353403;-0,110867148387895;0,505703185387077;-0,0742096074096346;0,00547496957331558;0,350929081890895;-0,070367017078878;-0,220940237806841;-0,286872702111006;-0,10135247253172;-0,05020752271279
"G6PDH.col";0,217608919053633;0,188866163134777;-0,37637160830755;-0,106281000632039;-0,0502845022364278;-0,280955707698541;0,0192028066720609;-0,155210746351287;-0,533288688622737;0,311250435824763;-0,114529502722451;-0,216870656861329;-0,171100627914965;0,420542457252573;0,00593955716586236;0,0198419311858463;0,0737761559377861;0,0683673512530859
"G6PDH.tent";-0,102500740566476;0,140684819809546;-0,452391430709514;-0,335364070011301;-0,140459830573963;0,379577156865519;0,111628130485141;-0,0145812639050595;-0,107460524428274;0,0494881897951377;-0,0983227837277706;0,395947346228322;0,225565451056581;-0,14154963112125;-0,193448116101395;-0,309998972965502;-0,254629098127668;0,162422220003847
"MDA.col";-0,225431058460887;-0,0998729409319689;-0,417241317417775;0,019273944402812;0,314943731861667;-0,142334098336761;0,102899627811021;0,0779725091365724;0,245053235334603;0,509625315145047;0,347019748309634;0,0958033476101347;-0,0880621674655435;-0,18491599928261;-0,120640897681336;0,23980202871126;0,088453289489825;-0,239636607076701
"MDA.tent";-0,215512968324713;0,0704240804314481;0,15930257144975;-0,375416417702792;-0,201460267920809;-0,554325696920762;-0,0307019633739529;-0,215200509351089;-0,161182758464893;-0,0792689897154518;0,275084472736365;0,197051587749429;-0,0281958648103705;-0,380362631895189;0,174285836164511;0,0117695910196732;0,0690663922066748;0,244220177444587
"TEAC.col";0,229543638958113;0,240101672140275;-0,070310820355729;-0,0414631412226838;-0,307717179072016;-0,403191214256065;-0,261153014081335;0,31440999160548;0,390999528311131;-0,0758564959435383;0,145798842638649;0,114675972327541;0,181841882940551;0,283647859258995;-0,364424403272084;-0,0712106559058933;-0,0869460013409546;-0,0817895781735352
"TEAC.tent";-0,101546730980898;0,227107693679494;0,262332372155738;-0,16123674589715;-0,474023238336185;0,263448973146697;0,427968643754427;-0,245209703722712;0,0911949982828018;0,174177733243138;0,238089252933722;-0,0256037782794323;0,039956488001557;0,239305967666701;0,0151770407288803;0,205949385171276;0,0665414758958925;-0,322448230260443
"GPx.col";0,360078860150245;0,0948179081663115;0,0611721979977664;-0,272792363284612;0,0324301405420203;-0,000998068308806388;-0,012256886862056;0,38520409142644;-0,154720540473148;0,101961996090739;-0,0732833017667355;0,0559869607136772;0,0656431824076544;-0,265234706631334;0,381436575498523;-0,221798871051751;0,148534294133302;-0,547138687873173
"GPx.tent";-0,210191504146993;0,328094913236725;-0,145113088061052;0,319194673365066;-0,15562756726282;0,0321372146783619;-0,154951942357211;0,218202443090535;-0,353549921590267;-0,142495195261573;-0,0293240125635656;-0,0721991071224744;0,359956214843442;-0,229781013765636;0,0321094558232916;0,522498332382563;-0,101414992418554;-0,101448056684661
"GR.col";0,192697561832533;0,370021514939954;-0,0472111037529595;-0,256733371261739;0,238833145184537;-0,0584999917396822;0,0513368136219492;-0,195264684925578;0,428367731115696;0,048176655000753;-0,300730997891854;-0,151342413528259;0,0317833575758243;-0,0693279015099661;0,308593118765653;0,304282998019426;-0,384322747301539;0,126813240543305
"GR.tent";-0,212222641078503;0,427141401121968;-0,137116610966234;-0,0666729913147959;0,0460416064726223;0,103017264826239;-0,0764915759101144;-0,0357903583471226;0,224323331749529;-0,102256706991752;-0,195086385245846;-0,197100820441638;-0,00197610632032538;-0,0920332391061746;-0,0716249362384062;-0,136073985803468;0,740591466065056;0,105453301253194
